bandwith = 125000.000000, sf = 6, tsym = 0.000512, bps = 1953.125000

bandwith = 125000.000000, sf = 7, tsym = 0.001024, bps = 976.562500
bandwith = 125000.000000, sf = 8, tsym = 0.002048, bps = 488.281240

bandwith = 125000.000000, sf = 9, tsym = 0.004096, bps = 244.140620
bandwith = 125000.000000, sf = 10, tsym = 0.008192, bps = 122.070310

bandwith = 125000.000000, sf = 11, tsym = 0.016384, bps = 61.035156

bandwith = 125000.000000, sf = 12, tsym = 0.032768, bps = 30.517578

bandwith = 250000.000000, sf = 6, tsym = 0.000256, bps = 3906.250000

bandwith = 250000.000000, sf = 7, tsym = 0.000512, bps = 1953.125000
bandwith = 250000.000000, sf = 8, tsym = 0.001024, bps = 976.562500

bandwith = 250000.000000, sf = 9, tsym = 0.002048, bps = 488.281240

bandwith = 250000.000000, sf = 10, tsym = 0.004096, bps = 244.140620
bandwith = 250000.000000, sf = 11, tsym = 0.008192, bps = 122.070310
bandwith = 250000.000000, sf = 12, tsym = 0.016384, bps = 61.035156

bandwith = 500000.000000, sf = 6, tsym = 0.000128, bps = 7812.500000

bandwith = 500000.000000, sf = 7, tsym = 0.000256, bps = 3906.250000
bandwith = 500000.000000, sf = 8, tsym = 0.000512, bps = 1953.125000
bandwith = 500000.000000, sf = 9, tsym = 0.001024, bps = 976.562500

bandwith = 500000.000000, sf = 10, tsym = 0.002048, bps = 488.281240
bandwith = 500000.000000, sf = 11, tsym = 0.004096, bps = 244.140620

bandwith = 500000.000000, sf = 12, tsym = 0.008192, bps = 122.070310
